feature	249_1813_B	291_37_C	294_1781_A	299_1781_A	310_37_C	318_1813_B
WBGene00000001	2087	2198	1937	2025	1911	2018
WBGene00000002	102	100	46	73	78	92
WBGene00000003	91	62	90	73	61	127
WBGene00000004	485	215	227	227	242	294
WBGene00000005	117	209	134	146	218	155
WBGene00000006	30	64	33	60	46	109
WBGene00000007	278	571	391	368	460	355
WBGene00000008	1	4	6	15	11	12
WBGene00000009	14	30	7	22	17	12
WBGene00000010	1426	1298	1434	1457	1415	1659
WBGene00000012	4	3	0	5	1	4
WBGene00000013	9	8	4	9	1	1
WBGene00000014	0	0	0	0	0	0
WBGene00000015	1	4	0	3	0	1
WBGene00000016	2	12	7	6	12	13
WBGene00000017	0	9	4	12	9	13
WBGene00000018	657	403	470	439	501	462
WBGene00000019	17	13	14	16	22	100
WBGene00000020	278	268	345	329	448	335
WBGene00000021	1	0	1	5	0	12
WBGene00000022	1404	1781	1860	1675	2574	1130
WBGene00000023	13	13	17	17	3	61
WBGene00000024	0	0	0	0	0	0
WBGene00000025	0	0	0	0	0	0
WBGene00000026	0	0	0	0	0	0
WBGene00000027	2	1	1	0	0	0
WBGene00000028	0	0	0	0	0	0
WBGene00000029	0	0	0	0	0	0
WBGene00000030	0	1	0	2	0	1
WBGene00000031	3	2	4	0	1	2
WBGene00000032	0	0	0	0	0	0
WBGene00000033	1	0	0	1	0	1
WBGene00000034	8	1	6	5	3	1
WBGene00000035	77	127	67	96	46	112
WBGene00000036	81	170	98	146	141	187
WBGene00000037	56	26	10	24	18	26
WBGene00000038	4	0	1	5	4	1
WBGene00000039	432	107	72	104	144	25
WBGene00000040	3020	5285	4075	4671	5105	4870
WBGene00000041	19398	15682	18801	19081	18977	22630
WBGene00000042	2	5	6	2	3	8
WBGene00000043	0	6	0	0	1	7
WBGene00000044	11	11	11	20	9	8
WBGene00000045	3	1	4	0	1	0
WBGene00000046	0	7	6	3	4	2
WBGene00000047	30	14	10	18	33	49
WBGene00000048	4	4	4	2	5	9
WBGene00000049	3	6	4	6	5	1
WBGene00000050	21	32	27	25	20	40
WBGene00000051	40	31	16	27	26	49
WBGene00000053	0	1	8	0	1	3
WBGene00000054	23	31	15	23	17	43
WBGene00000055	33	45	25	31	41	45
WBGene00000056	10	14	10	18	18	20
WBGene00000057	17	26	24	24	34	39
WBGene00000058	9	8	4	7	5	6
WBGene00000059	1	4	1	5	5	12
WBGene00000060	1	14	3	10	8	7
WBGene00000061	0	0	0	0	0	0
WBGene00000062	5	4	4	5	4	15
WBGene00000063	3706	4161	3240	4078	3340	4874
WBGene00000064	38212	24295	33892	34309	32418	35503
WBGene00000065	3459	3803	3025	3999	3240	4633
WBGene00000066	13850	20026	10400	14154	10791	19385
WBGene00000067	11436	16661	13084	14818	19230	11459
WBGene00000068	110	100	94	100	94	154
WBGene00000069	7	8	13	6	11	28
WBGene00000070	180	390	161	246	236	161
WBGene00000071	179	196	216	209	189	188
WBGene00000072	125	170	189	129	191	187
WBGene00000073	295	389	280	284	266	365
WBGene00000074	790	605	678	754	579	684
WBGene00000075	530	529	532	511	512	564
WBGene00000079	2872	2208	2692	2529	2621	2309
WBGene00000080	2127	2278	2068	2007	1953	2145
WBGene00000081	2526	6121	3476	4044	4380	3043
WBGene00000082	37	24	17	25	18	20
WBGene00000083	430	414	405	578	560	921
WBGene00000084	315	480	308	291	361	217
WBGene00000085	5	21	5	13	2	9
WBGene00000086	179	236	183	190	229	206
WBGene00000088	239	677	315	371	498	317
WBGene00000089	78	156	71	86	110	102
WBGene00000090	3409	2235	3184	3111	2720	3026
WBGene00000092	706	595	508	555	524	582
WBGene00000093	512	776	520	513	542	592
WBGene00000094	781	574	704	655	775	659
WBGene00000095	446	504	349	329	360	405
WBGene00000096	20	16	5	5	10	6
WBGene00000097	935	1206	835	923	960	1000
WBGene00000098	5562	5823	4892	5448	5038	6150
WBGene00000099	2095	2208	1800	1924	2019	2289
WBGene00000100	2352	1792	1589	1950	1745	1972
WBGene00000101	9335	7221	9222	8235	7859	9501
WBGene00000102	5456	4989	4956	5075	4607	5648
WBGene00000103	207	241	168	187	135	235
WBGene00000105	1763	700	1097	1083	1137	1228
WBGene00000106	2487	1017	2045	2050	1938	1604
WBGene00000107	6095	7602	6304	6690	6768	7665
WBGene00000108	1	1	0	0	0	2
WBGene00000109	2499	3109	2472	2580	2644	2650
WBGene00000110	3954	3801	3222	3477	3249	3458
WBGene00000111	58	205	74	169	82	218
WBGene00000112	1408	1325	1522	1613	1590	2526
WBGene00000113	733	1054	838	882	868	1115
WBGene00000114	11638	20973	16040	17619	20165	16716
WBGene00000115	2481	2351	2395	2420	2377	4886
WBGene00000116	269	296	241	288	244	339
WBGene00000117	1199	1269	1166	1220	1244	1290
WBGene00000118	842	1728	1169	1103	1337	2003
WBGene00000120	348	454	231	296	306	264
WBGene00000121	5702	6978	5147	5487	5490	6196
WBGene00000122	5360	6359	5056	5202	5295	5873
WBGene00000123	8020	2868	7530	6588	6001	5975
WBGene00000133	18	46	4	35	15	292
WBGene00000134	1	3	1	1	0	3
WBGene00000135	21	45	16	17	18	26
WBGene00000136	783	1146	820	689	1279	806
WBGene00000137	517	519	429	433	442	494
WBGene00000138	173	269	187	215	218	280
WBGene00000139	130	211	133	131	165	116
WBGene00000140	459	489	613	603	549	615
WBGene00000142	3513	4745	3397	3527	3405	3816
WBGene00000143	2714	2904	2770	2582	2601	2769
WBGene00000144	836	1224	815	827	879	813
WBGene00000145	809	1417	767	812	872	1034
