wormbase_gene,S01,S02,S03,S04,S05,S06,S07,S08
WBGene00000001,1124,1667,997,1778,955,1261,1552,1480
WBGene00000002,29,53,27,40,28,49,61,38
WBGene00000003,40,67,19,47,25,37,97,68
WBGene00000004,176,306,152,265,171,222,318,273
WBGene00000005,121,150,113,164,83,114,191,161
WBGene00000006,57,86,58,97,59,80,98,102
WBGene00000007,82,87,62,81,62,72,140,119
WBGene00000008,12,28,11,13,12,20,17,15
WBGene00000009,12,14,8,12,1,11,15,14
WBGene00000010,652,1115,777,1145,698,947,1123,999
WBGene00000012,4,11,3,14,5,4,7,8
WBGene00000013,3,2,5,3,2,5,3,7
WBGene00000014,0,0,0,0,0,0,0,0
WBGene00000015,0,0,1,0,2,1,1,0
WBGene00000016,13,31,28,32,28,39,46,30
WBGene00000017,32,81,73,85,52,70,72,74
WBGene00000018,308,484,331,551,379,428,577,423
WBGene00000019,7,9,2,5,3,3,15,9
WBGene00000020,204,326,268,302,240,265,316,293
WBGene00000021,1,0,0,2,0,2,2,1
WBGene00000022,407,712,618,726,473,618,747,743
WBGene00000023,2,12,8,15,10,10,21,14
WBGene00000024,0,16,3,0,1,0,0,4
WBGene00000025,2,0,1,0,0,0,1,0
WBGene00000026,0,3,0,0,0,0,0,0
WBGene00000027,0,0,0,0,2,0,0,1
WBGene00000028,0,0,0,0,0,0,0,0
WBGene00000029,0,3,0,1,0,0,0,5
WBGene00000030,0,8,2,0,2,2,2,5
WBGene00000031,0,9,7,0,1,4,0,11
WBGene00000032,0,6,5,0,0,4,2,6
WBGene00000033,2,8,1,1,1,3,4,3
WBGene00000034,1,19,5,6,5,10,9,5
WBGene00000035,65,97,83,111,62,90,105,98
WBGene00000036,90,180,146,190,123,159,187,164
WBGene00000037,15,30,24,30,23,25,22,16
WBGene00000038,6,20,15,10,13,11,16,9
WBGene00000039,31,61,62,70,48,61,83,46
WBGene00000040,2331,4030,2857,3883,2736,3414,3908,3657
WBGene00000041,10738,19156,16417,19053,8832,10727,11117,10526
WBGene00000042,4,9,3,6,2,5,9,5
WBGene00000043,2,3,5,4,3,4,5,7
WBGene00000044,3,8,12,5,4,7,14,9
WBGene00000045,3,2,0,4,1,5,0,1
WBGene00000046,3,5,4,4,4,0,5,5
WBGene00000047,10,18,15,13,16,15,27,24
WBGene00000048,5,9,4,12,6,7,5,12
WBGene00000049,0,2,1,0,1,1,4,7
WBGene00000050,14,4,7,13,6,5,19,14
WBGene00000051,18,19,14,26,14,17,21,15
WBGene00000053,0,1,0,1,0,1,3,1
WBGene00000054,21,34,20,24,28,25,54,31
WBGene00000055,30,41,20,42,25,31,80,40
WBGene00000056,9,15,13,14,11,16,23,21
WBGene00000057,24,54,26,37,35,30,39,41
WBGene00000058,9,6,3,10,0,2,10,5
WBGene00000059,10,12,14,6,11,11,21,11
WBGene00000060,3,7,8,5,0,4,7,9
WBGene00000061,2,3,1,7,4,1,5,3
WBGene00000062,0,1,4,2,4,4,4,4
WBGene00000063,17611,34714,31971,35577,26509,30449,26759,32137
WBGene00000064,18441,33548,29665,34970,24275,27923,28459,28706
WBGene00000065,9737,16936,14438,18023,13642,14534,20970,15583
WBGene00000066,13004,25695,23548,25039,19079,21349,22974,22047
WBGene00000067,5842,10795,10413,10970,8245,9410,9762,9693
WBGene00000068,83,109,80,110,52,96,136,131
WBGene00000069,15,12,10,7,12,11,18,6
WBGene00000070,116,165,106,155,119,125,184,150
WBGene00000071,70,103,97,122,74,106,133,133
WBGene00000072,77,137,105,136,76,108,143,106
WBGene00000073,186,259,187,271,167,220,385,268
WBGene00000074,320,552,430,622,414,488,500,466
WBGene00000075,261,510,377,520,310,380,556,410
WBGene00000079,1664,2347,2214,2755,1824,2019,2279,2106
WBGene00000080,1116,1569,1051,1703,885,1246,1711,1487
WBGene00000081,1722,2897,2805,2905,2136,2473,2535,2525
WBGene00000082,20,29,21,26,18,43,34,33
WBGene00000083,550,805,636,777,620,769,966,798
WBGene00000084,55,82,56,81,44,39,134,61
WBGene00000085,11,12,11,8,7,5,21,14
WBGene00000086,96,160,114,145,87,121,156,140
WBGene00000088,104,193,152,194,130,139,184,130
WBGene00000089,40,57,51,56,46,42,58,82
WBGene00000090,1370,1954,1446,2000,1163,1439,1758,1717
WBGene00000092,332,561,381,586,340,426,581,527
WBGene00000093,257,462,424,512,322,397,394,391
WBGene00000094,436,677,395,730,295,451,658,551
WBGene00000095,167,260,184,287,211,252,248,228
WBGene00000096,2,3,5,8,3,6,7,10
WBGene00000097,522,889,583,916,547,734,777,742
WBGene00000098,2734,4228,2826,4294,2407,3160,4297,3675
WBGene00000099,985,1563,1187,1540,1003,1360,1440,1292
WBGene00000100,774,1403,1337,1548,1144,1355,1412,1250
WBGene00000101,3505,5397,4055,5653,3318,4292,5255,4759
WBGene00000102,2546,4003,3053,4288,2624,3171,4202,3581
WBGene00000103,98,194,125,192,142,147,162,153
WBGene00000105,694,1172,923,1165,814,990,1145,1035
WBGene00000106,1086,1704,1541,1769,1302,1486,1548,1486
WBGene00000107,3181,5333,4051,5304,3376,4393,4769,4486
WBGene00000108,0,0,0,0,0,0,0,1
WBGene00000109,1162,1795,1045,1946,1088,1552,1784,1571
WBGene00000110,1948,3169,2545,3418,2340,2748,2747,2604
WBGene00000111,76,164,143,149,92,98,112,119
WBGene00000112,1077,1924,1640,1794,1471,1639,1726,1691
WBGene00000113,394,733,711,764,501,596,676,693
WBGene00000114,9438,17370,15349,17318,12527,14701,14776,14547
WBGene00000115,2713,4611,3832,4683,3380,4107,4440,4126
WBGene00000116,298,469,314,529,273,410,682,465
WBGene00000117,537,823,667,808,545,680,745,709
WBGene00000118,592,936,573,922,482,700,999,862
WBGene00000120,221,350,282,403,269,309,336,286
WBGene00000121,3343,5443,4546,5682,3484,4330,5184,4426
WBGene00000122,2615,4295,3676,4549,2928,3612,3784,3533
WBGene00000123,3599,6018,5630,6796,4708,5661,5447,5636
WBGene00000133,138,216,148,235,77,93,76,69
WBGene00000134,2,4,3,5,1,1,2,0
WBGene00000135,21,21,26,16,14,16,21,19
WBGene00000136,321,584,398,556,289,408,547,493
WBGene00000137,190,286,203,340,189,245,368,315
WBGene00000138,101,205,162,210,141,176,234,178
WBGene00000139,24,35,24,30,12,37,56,36
WBGene00000140,5660,9407,8575,9590,6417,7986,8656,9290
WBGene00000142,1538,2306,1281,2302,1156,1670,2377,2031
WBGene00000143,1030,1514,1034,1535,928,1172,1679,1453
WBGene00000144,386,660,576,698,441,529,618,551
WBGene00000145,446,773,461,809,421,652,682,639
WBGene00000146,3004,4698,2920,4730,2479,3566,5049,4079
WBGene00000147,394,508,408,601,352,397,625,490
WBGene00000148,678,972,499,974,459,607,1125,900
WBGene00000149,1817,3061,2808,3131,2429,2693,2777,2613
WBGene00000150,238,374,259,355,265,298,440,407
WBGene00000151,1078,1679,1127,1696,938,1350,1489,1333
WBGene00000155,3407,5383,4037,5400,3350,4033,5024,4559
WBGene00000156,1915,2721,1679,2887,1457,2121,2977,2506
WBGene00000157,206,304,273,358,223,329,378,349
WBGene00000158,1546,2310,1804,2531,1432,1935,2295,2140
WBGene00000159,612,962,590,918,499,731,979,848
WBGene00000160,1585,2348,1336,2603,1385,1968,2595,2303
WBGene00000161,757,1185,866,1041,717,935,1138,1018
WBGene00000162,1080,1751,1623,1777,1290,1602,1563,1553
WBGene00000163,1557,2360,1500,2369,1237,1772,2373,2126
WBGene00000164,170,321,223,267,213,255,300,259
WBGene00000165,391,617,506,594,394,497,663,553
WBGene00000166,11,12,11,18,7,10,18,12
WBGene00000168,1226,1965,1689,2163,1456,1675,1942,1713
WBGene00000169,243,376,238,339,207,259,378,321
WBGene00000170,278,534,444,494,402,530,524,493
WBGene00000171,7,11,4,4,4,0,7,10
WBGene00000172,112,169,108,160,112,111,189,153
WBGene00000173,0,2,2,1,1,1,2,1
WBGene00000174,4,6,1,11,2,3,8,2
WBGene00000175,2172,3952,3086,3836,2533,3213,3468,3580
WBGene00000176,330,612,410,662,442,500,571,506
